Qty	Value	Device	Package	Parts	Description	DIGIKEY	FARNELL	MOUSER	RS
1		PINHD-1X12	1X12	JP1	PIN HEADER	WM50014-12-ND	1593418	538-22-28-4120	821-5689
1		PINHD-1X14	1X14	JP5	PIN HEADER	0901200134-ND	2356164	538-90120-0134	670-5060
4		PINHD-1X2	1X02	EN, JP36, JP38, VUSB	PIN HEADER	3M9457-02-ND	2396217	517-9611026404AR	827-7775
1		PINHD-1X5	1X05	USB	PIN HEADER	732-5318-ND	2356157	710-61300511121	828-1597
1		PINHD-1X8	1X08	JP11	PIN HEADER	A122911-ND	1248147	571-826926-8	669-5339
3		PINHD-2X12	2X12	JP2, JP3, PWR_1	PIN HEADER	WM8148-ND	9733663	538-90131-0772	670-3500
3		PINHD-2X14	2X14	JP6, JP7, PWR_2	PIN HEADER	WM8150-ND	2356142	538-90131-0774	670-3512
3		PINHD-2X3	2X03	LEDS, VCC, VCCIO	PIN HEADER	A122915-ND	1248159	571-826942-3	360-6443
2		PINHD-2X6	2X06	+5V, SERVOS	PIN HEADER	A122662-ND	1248162	571-826942-6	681-2953
1	100k	R-EU_R0603	R0603	R37	RESISTOR, European symbol	311-100KHRCT-ND	9238727	603-RC0603FR-07100KL	504-8940
6	100n/16V	C-EUC0402	C0402	C1, C6, C7, C11, C20, C21	CAPACITOR, European symbol	732-7478-1-ND	2533923RL	710-885012105001	839-1622
6	10k	R-EU_R0603	R0603	R4, R5, R35, R50, R51, R52	RESISTOR, European symbol	311-10KGRCT-ND	9238603	603-RC0603FR-0710KL	504-8934
28	180R	R-EU_R0603	R0603	R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R27, R28, R29, R30, R31, R32, R33, R34	RESISTOR, European symbol	311-180HRCT-ND	9238395	603-RC0603FR-07180RL	504-9937
1	1n/50V	C-EUC0603	C0603	C12	CAPACITOR, European symbol	399-1082-1-ND	1414608	80-C0603C102K5R	264-4551
1	330u/16V	CPOL-EUE5-10.5	E5-10,5	C37	POLARIZED CAPACITOR, European symbol	493-6629-1-ND	9692045	140-REA331M1CBK0811P	707-5840
11	470R	R-EU_R0603	R0603	R1, R2, R3, R26, R36, R38, R40, R42, R44, R46, R48	RESISTOR, European symbol	311-470HRCT-ND	9238441	603-RC0603FR-07470RL	504-7341
4	4u7/16V	C-EUC0603	C0603	C2, C3, C4, C5	CAPACITOR, European symbol	478-1253-1-ND	9227784	06034D475KAT2A	698-3248
5	4u7/16V	C-EUC0805	C0805	C8, C9, C10, C67, C70	CAPACITOR, European symbol	1276-2970-2-ND	2320854	963-EMK212B7475KG-T	766-1037
6	680R	R-EU_R0603	R0603	R39, R41, R43, R45, R47, R49	RESISTOR, European symbol	311-680HRCT-ND	9238468	603-RC0603FR-13680RL
1	7805	78XXS	78XXS	IC2	VOLTAGE REGULATOR	1016-1538-5-ND	9756078	701-SP7805V-L	769-5466
1	ARDUINOR3-BPLACE	ARDUINOR3-BPLACE	ARDUINOR3-BPLACE	U3	This is a new object for the new Arduino R3 - with extra pins that you may want to use (such as IOref, and duplicated A4/A5
2	BC337	NPN-SOT23-BEC	SOT23	T1, T2		1727-2919-1-ND	1081224	771-BC817-40-T/R	216-9410
1	CP2102N-28	CP2102N-28	QFN28-PAD	IC3		336-3694-ND	2577279	634-CP2102NA01GQFN28	526-8841
1	ESP-WROOM-32	ESP-WROOM-32	ESP-WROOM-32	U1	Espressif Systems ESP-WROOM-32	1738-1294-ND
1	MKDSN1,5/2-5,08	MKDSN1,5/2-5,08	MKDSN1,5/2-5,08	PWR	MKDSN 1,5/ 2-5,08 Printklemme	277-5953-ND	2490945	651-1890963	804-5118
21	PINH1X01	PINH1X01	1X01	!CTS, !DCD, !DSR, !DTR, !RESET, !RTS, !SUSPEND, CHR0, CHR1, CHREN, IO0/TXLED, IO1/RXLED, IO2/RS485, IO3/WAKEUP, IO4, IO5, IO6, RI/CLK, RXD, SUSPEND, TXD		WM14724-ND	1756963	538-90120-0761	863-2706
2	TACTM-35N-F	TACTM-35N-F	TACTM-35N-F	B1, B2		CKN1574TR-ND	2079520	611-PTS635SL43SMTRLF	135-9609
1	UM18533	UM185XX	SOT23-5	U2		296-17580-1-ND	1135395	595-TPS73033DBVR	620-1401
1	USB-MICRO-B-BOTTOM	USB-MICRO-B-BOTTOM	USB-MICRO-B-BOTTOM-MOLEX	X1		WM17141CT-ND	1568026	538-47346-0001	702-5475
8	green	LEDCHIPLED_0603	CHIPLED_0603	LED0P, LED1P, LED2P, LED3P, LED4P, LED5P, LED_3V3, LED_3V3_USB	LED	872-1799	2293494	859-LTST-C191KGKT	872-1799
6	red	LEDCHIPLED_0603	CHIPLED_0603	LED0N, LED1N, LED2N, LED3N, LED4N, LED5N	LED	160-1447-2-ND	2322071	859-LTST-C191KRKT	127-8415
3	skl34	SHOTTKY-SOD123	SOD123	D1, D2, D5
3	yellow	LEDCHIP-LED0603	CHIP-LED0603	LED1, LED2, LED3	LED	732-4981-1-ND	2322074	710-150060YS75000	815-4219
